id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0WOvSEVpUGkNufX0w0M06F,0.784,0.539,-8.148,0.0628,0.69,1.75e-05,0.0367,0.697,133.963
55cwGtYrExG7slEAor5jeR,0.741,0.622,-8.006,0.0395,0.137,0.0,0.106,0.47,136.014
7CRThl2cGDh1o9p3ivaLbG,0.67,0.621,-7.853,0.037,0.131,0.0,0.675,0.288,90.04
5WXzdoiXWoE6BDBIa9SSnz,0.731,0.565,-8.625,0.0337,0.0496,0.0,0.0787,0.177,95.009
6krUUNp4e2mIOzNzRIexdY,0.626,0.547,-8.287,0.04,0.588,0.0,0.129,0.313,77.506
26HQt3tNOagBa4Av5lftP2,0.855,0.485,-7.833,0.0686,0.158,0.0,0.132,0.59,120.106
68eM2hKgDfuGTIqZN1UZap,0.613,0.406,-11.801,0.0329,0.27,0.0,0.228,0.34,82.51
7LqZ1vcIKYdFYe5VhiePW9,0.755,0.537,-8.18,0.0389,0.215,1.13e-06,0.102,0.612,102.028
57PdidKlKLiTtyJapoN111,0.79,0.594,-5.073,0.262,0.233,0.0,0.0885,0.69,142.101
4DfEx6Gt5Hz3wLLl7KGVL0,0.783,0.578,-5.762,0.0351,0.169,0.0,0.281,0.616,94.056
2fcDYJrvdfMriHD2zGiHcX,0.688,0.556,-6.935,0.0908,0.22,0.0,0.128,0.584,167.892
2UdbN109XCUQO83jLIHUPr,0.641,0.623,-7.063,0.169,0.0914,0.0,0.0924,0.829,169.894
6L3edcpIILOq2wiPWnvlnL,0.771,0.593,-9.327,0.301,0.223,0.000205,0.112,0.456,119.848
